GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0400000US49,49,Utah,2858111,*****
1400000US49001100100,49001100100,"Census Tract 1001, Beaver County, Utah",3570,179
1400000US49001100200,49001100200,"Census Tract 1002, Beaver County, Utah",2944,179
1400000US49003960100,49003960100,"Census Tract 9601, Box Elder County, Utah",2908,266
1400000US49003960200,49003960200,"Census Tract 9602, Box Elder County, Utah",6801,274
1400000US49003960300,49003960300,"Census Tract 9603, Box Elder County, Utah",8256,279
1400000US49003960400,49003960400,"Census Tract 9604, Box Elder County, Utah",5030,284
1400000US49003960500,49003960500,"Census Tract 9605, Box Elder County, Utah",5039,289
1400000US49003960601,49003960601,"Census Tract 9606.01, Box Elder County, Utah",3621,277
1400000US49003960602,49003960602,"Census Tract 9606.02, Box Elder County, Utah",2578,219
1400000US49003960701,49003960701,"Census Tract 9607.01, Box Elder County, Utah",5001,410
1400000US49003960702,49003960702,"Census Tract 9607.02, Box Elder County, Utah",2392,195
1400000US49003960801,49003960801,"Census Tract 9608.01, Box Elder County, Utah",4512,266
1400000US49003960802,49003960802,"Census Tract 9608.02, Box Elder County, Utah",4475,129
1400000US49005000101,49005000101,"Census Tract 1.01, Cache County, Utah",4774,222
1400000US49005000102,49005000102,"Census Tract 1.02, Cache County, Utah",1775,156
1400000US49005000201,49005000201,"Census Tract 2.01, Cache County, Utah",3521,263
1400000US49005000202,49005000202,"Census Tract 2.02, Cache County, Utah",7191,231
1400000US49005000300,49005000300,"Census Tract 3, Cache County, Utah",7228,432
1400000US49005000401,49005000401,"Census Tract 4.01, Cache County, Utah",3652,242
1400000US49005000402,49005000402,"Census Tract 4.02, Cache County, Utah",3378,219
1400000US49005000403,49005000403,"Census Tract 4.03, Cache County, Utah",6208,248
1400000US49005000501,49005000501,"Census Tract 5.01, Cache County, Utah",5399,432
1400000US49005000502,49005000502,"Census Tract 5.02, Cache County, Utah",5955,367
1400000US49005000600,49005000600,"Census Tract 6, Cache County, Utah",6470,588
1400000US49005000701,49005000701,"Census Tract 7.01, Cache County, Utah",4731,296
1400000US49005000702,49005000702,"Census Tract 7.02, Cache County, Utah",3212,390
1400000US49005000800,49005000800,"Census Tract 8, Cache County, Utah",4992,419
1400000US49005000900,49005000900,"Census Tract 9, Cache County, Utah",3186,293
1400000US49005001001,49005001001,"Census Tract 10.01, Cache County, Utah",2862,247
1400000US49005001002,49005001002,"Census Tract 10.02, Cache County, Utah",4803,680
1400000US49005001101,49005001101,"Census Tract 11.01, Cache County, Utah",5450,283
1400000US49005001102,49005001102,"Census Tract 11.02, Cache County, Utah",4365,239
1400000US49005001201,49005001201,"Census Tract 12.01, Cache County, Utah",4937,286
1400000US49005001202,49005001202,"Census Tract 12.02, Cache County, Utah",5970,194
1400000US49005001300,49005001300,"Census Tract 13, Cache County, Utah",6068,299
1400000US49005001401,49005001401,"Census Tract 14.01, Cache County, Utah",4297,259
1400000US49005001402,49005001402,"Census Tract 14.02, Cache County, Utah",3398,266
1400000US49005001500,49005001500,"Census Tract 15, Cache County, Utah",2057,167
1400000US49005980100,49005980100,"Census Tract 9801, Cache County, Utah",75,64
1400000US49007000100,49007000100,"Census Tract 1, Carbon County, Utah",4055,291
1400000US49007000200,49007000200,"Census Tract 2, Carbon County, Utah",4770,341
1400000US49007000300,49007000300,"Census Tract 3, Carbon County, Utah",4414,330
1400000US49007000500,49007000500,"Census Tract 5, Carbon County, Utah",3914,340
1400000US49007000600,49007000600,"Census Tract 6, Carbon County, Utah",3965,356
1400000US49009960100,49009960100,"Census Tract 9601, Daggett County, Utah",714,127
1400000US49011125102,49011125102,"Census Tract 1251.02, Davis County, Utah",4453,489
1400000US49011125103,49011125103,"Census Tract 1251.03, Davis County, Utah",5178,378
1400000US49011125104,49011125104,"Census Tract 1251.04, Davis County, Utah",6290,432
1400000US49011125200,49011125200,"Census Tract 1252, Davis County, Utah",3373,348
